	TSNE_1	TSNE_2
334	-7.922455	-4.230816
335	8.795504	-5.1410427
336	8.508796	-5.3527675
337	5.92223	8.1074095
338	-1.2552626	-5.2556224
339	-1.9157072	-5.832598
340	-9.458054	-6.049001
341	6.5435476	7.987892
342	5.8308463	-5.0107374
343	2.6308527	2.4656353
344	-1.6971086	4.758483
345	-2.5845313	4.564315
346	-4.9145584	-3.722846
347	7.0761533	-3.4333775
348	5.9045367	-1.2025616
349	9.48617	1.0232894
350	-6.496439	2.4422264
351	2.1949673	1.4037564
352	-1.673448	4.0717034
353	8.231841	-2.5401955
354	-0.08116427	-1.8734792
355	-1.6578014	-4.0276103
356	-0.29327363	-3.2438438
357	4.077048	10.860135
358	-3.213442	-6.4963813
359	9.195828	-3.1813252
360	-8.446076	-9.756164
361	1.9865719	-2.8167253
362	3.6432426	-5.5861692
363	2.8721364	3.2021103
364	3.890733	-5.5706224
365	1.7049572	-2.2271883
366	-5.6952896	-4.2998962
367	-1.7175392	-8.634922
368	0.18245904	2.6561587
369	5.8087454	-3.7585108
370	8.435412	-2.7893927
371	4.9548154	-5.7122526
372	-3.8137715	-5.0408025
373	-4.8378644	-4.66734
374	3.2205117	-7.335309
375	-6.1995053	1.9663801
376	8.451146	4.585168
377	-5.6876025	-8.564595
378	6.929018	10.100223
379	2.75036	-4.685761
380	10.656958	8.072677
381	7.954444	4.6089234
382	-9.87785	-6.072688
383	4.9739847	8.249722
384	-2.5079737	4.725065
385	7.4758263	4.6601443
386	-8.001093	-5.068187
387	3.8514254	8.176674
388	5.3381724	8.882029
389	-9.788108	-5.770358
390	6.9907875	4.9271126
391	8.037254	9.532203
392	8.330646	6.9818125
393	-6.968075	-11.262104
394	9.795638	5.5023856
395	4.9294796	-7.034775
396	10.151786	7.8035517
397	6.5886393	0.2988992
398	5.8872333	7.9530787
399	9.72023	0.7626391
400	-3.8080783	-3.5734885
401	9.465091	5.797566
402	-5.752647	2.7330399
403	5.6251936	6.4332066
404	3.2354925	-4.0370035
405	0.9159433	2.8000646
406	-0.9212687	-9.477508
407	5.3934445	7.472236
408	4.663648	-9.576515
409	-8.3536005	-5.3504786
410	-3.8908653	-3.2315536
411	-2.8697233	-2.124211
412	-8.913972	-6.5156255
413	-5.554357	2.765742
414	-5.3560357	2.0951953
415	3.296892	7.3199234
416	3.5235353	8.282296
417	-6.095476	3.263371
418	-6.7027583	2.636525
419	-5.9882536	3.1128855
420	-5.6451554	2.5751593
421	-6.3056645	1.694044
422	7.97235	-7.3064566
423	-7.7197876	-3.598527
424	-0.08812787	-6.2350845
425	-5.460876	-3.2393944
426	7.2820196	5.6610637
427	8.12569	10.622955
428	-0.87124896	-5.4438934
429	-2.9104555	-6.000056
430	3.1597364	-0.6733475
431	-5.969895	7.6454277
432	-9.8976345	1.6245992
433	10.296576	0.55049855
434	2.0197895	-3.9483976
435	9.785307	0.7340266
436	-5.9695635	-0.21198252
437	-0.2899577	-5.077922
438	8.362507	4.1728125
439	5.4431834	-8.449788
440	5.7775226	-6.576496
441	3.6089504	4.7913284
442	3.8748772	1.03597
443	4.6430387	0.93537694
444	3.424079	0.7275271
445	-1.4483944	0.9428971
446	-3.9618073	-9.069942
447	-8.279555	4.989992
448	4.508873	1.1737914
