label	TSNE_1	TSNE_2
LARGE_INTESTINE	68.142555	-35.434067
LUNG	24.538515	-55.675747
LUNG	47.264458	-43.282337
LUNG	-8.057375	-34.62949
LUNG	-16.880861	-26.494333
LUNG	38.93034	-19.630503
LUNG	27.115992	21.934795
LUNG	-7.368123	-7.095116
LUNG	-0.23964143	-24.707754
LUNG	-7.9087806	-36.74301
LUNG	10.381307	-71.14472
LARGE_INTESTINE	79.29421	-30.567217
LUNG	55.932213	-48.994205
LARGE_INTESTINE	40.828995	2.7242296
LUNG	53.17368	-50.26322
LUNG	14.750992	-43.411602
LUNG	0.9533648	-1.6950047
LUNG	-8.116955	-33.292194
LUNG	69.06554	-31.103455
LUNG	20.288319	-60.345615
HALT	-29.808462	47.487976
STOMACH 	51.428547	7.0917144
HALT	7.918579	86.617874
CENTRAL_NERVOUS_SYSTEM	-49.527306	-12.424089
OVARY	7.2843695	6.999311
CENTRAL_NERVOUS_SYSTEM	-25.053247	-28.502958
HALT	-0.38369972	105.47423
HALT	-47.90617	74.8087
HALT	-50.252975	89.32073
STOMACH 	24.997698	28.830221
STOMACH 	58.26302	-25.505533
STOMACH 	61.61442	-32.70957
OVARY	10.952936	1.9781696
OVARY	-5.406334	7.558274
OVARY	10.137157	-8.781374
HALT	3.0694778	107.340256
HALT	3.130281	103.22624
HALT	-5.2452316	102.703735
HALT	-52.649147	93.815994
HALT	-46.450085	71.22527
HALT	9.940346	88.58733
HALT	-24.777761	40.75791
HALT	-27.427174	52.367958
STOMACH 	71.816055	-34.228287
OVARY	-4.6238036	1.8972384
OVARY	7.5406528	7.0298686
CENTRAL_NERVOUS_SYSTEM	11.233562	15.508116
HALT	-36.453773	45.61284
HALT	-35.702568	45.817825
KIDNEY 	-5.330857	22.6889
LARGE_INTESTINE	63.88668	-31.752495
OVARY	38.42542	22.739481
OVARY	0.77688843	-19.290579
OVARY	65.790016	-28.213514
OVARY	13.322785	3.8121958
OVARY	-2.144605	-21.844063
OVARY	20.933695	4.104603
OVARY	11.737138	-10.6022005
OVARY	10.147485	9.203613
OVARY	6.379372	19.925728
OVARY	13.736218	8.867567
OVARY	3.9342968	20.389261
HALT	-27.527843	89.96598
HALT	-4.0042143	105.08323
HALT	-52.900234	81.356995
PANCREAS	28.539877	1.9834454
PANCREAS	33.100258	21.447462
PANCREAS	26.664545	4.127478
PANCREAS	34.39227	1.1896092
PANCREAS	35.610954	5.9430285
PANCREAS	36.66531	6.915096
PANCREAS	29.791899	0.08526702
PANCREAS	8.400045	-23.755001
